city,city_stem,status,expected_image_count,finished_image_count,missing_image_count,extra_finished_count,shard_count,missing_examples,extra_examples,error
Buenos Aires,buenosaires,complete,132121,132121,0,157690,4529,,--1LS9hbJMHAFzfflpCGQA_0.jpg;--1LS9hbJMHAFzfflpCGQA_180.jpg;--1LS9hbJMHAFzfflpCGQA_270.jpg;--1LS9hbJMHAFzfflpCGQA_90.jpg;--299U1_raBvfvmaTXHkzQ_0.jpg,
Sydney,sydney,complete,654211,654211,0,965307,25305,,--02Yl7wATavGA9KDc1V5g_0.jpg;--02Yl7wATavGA9KDc1V5g_180.jpg;--02Yl7wATavGA9KDc1V5g_270.jpg;--02Yl7wATavGA9KDc1V5g_90.jpg;--3t-hEQWrlZMguWNGNYrA_0.jpg,
Vienna,vienna,complete,179827,179827,0,128418,4817,,--5uXa-qqPOjIWvZ-3F5iQ_0.jpg;--5uXa-qqPOjIWvZ-3F5iQ_180.jpg;--5uXa-qqPOjIWvZ-3F5iQ_270.jpg;--5uXa-qqPOjIWvZ-3F5iQ_90.jpg;--JD4_dfVuIn3iowBk8wLQ_0.jpg,
Saidpur,saidpur,empty_expected,0,0,0,6050,95,,-0YArmh95JZoSRumqEbIMg_180.jpg;-0YArmh95JZoSRumqEbIMg_270.jpg;-1XEEL7i1fla7tFRghNzDQ_180.jpg;-2DWsNZn3ornWmnWahHkVQ_0.jpg;-2DWsNZn3ornWmnWahHkVQ_180.jpg,
Rajshahi,rajshahi,empty_expected,0,0,0,175014,2735,,--26I_hvbwbnX7-0jagXBg_0.jpg;--26I_hvbwbnX7-0jagXBg_180.jpg;--26I_hvbwbnX7-0jagXBg_270.jpg;--26I_hvbwbnX7-0jagXBg_90.jpg;--6UnvMe24kBfW93ObkgPA_0.jpg,
Dhaka,dhaka,complete,2930,2930,0,833267,13066,,---48jt1Yiv7hNRQzOwQzw_0.jpg;---48jt1Yiv7hNRQzOwQzw_180.jpg;---48jt1Yiv7hNRQzOwQzw_270.jpg;---48jt1Yiv7hNRQzOwQzw_90.jpg;---7iAlpGK252Xvq_bQHzA_0.jpg,
Antwerp,antwerp,complete,81846,81846,0,55581,2148,,--Sk_iparu8NkeaoBUQROA_0.jpg;--Sk_iparu8NkeaoBUQROA_180.jpg;--Sk_iparu8NkeaoBUQROA_270.jpg;--Sk_iparu8NkeaoBUQROA_90.jpg;--rfJZY5y5Jy4LZ83ezWyA_0.jpg,
Brussels,brussels,incomplete,1264274,895139,369135,1791325,41976,---StbxHmKfbZcc2nncgfw_0.jpg;---StbxHmKfbZcc2nncgfw_180.jpg;---StbxHmKfbZcc2nncgfw_270.jpg;---StbxHmKfbZcc2nncgfw_90.jpg;--0XaVYOv1sX-y4MOMu2MA_0.jpg,---349EApgLUPc7akch20Q_0.jpg;---349EApgLUPc7akch20Q_180.jpg;---349EApgLUPc7akch20Q_270.jpg;---349EApgLUPc7akch20Q_90.jpg;--0458lKgPA8IsJbzEWJjw_0.jpg,
Cochabamba,cochabamba,empty_expected,0,0,0,45110,705,,-0s58rEAnwwjZbLdcU94lA_0.jpg;-0s58rEAnwwjZbLdcU94lA_180.jpg;-0s58rEAnwwjZbLdcU94lA_270.jpg;-0s58rEAnwwjZbLdcU94lA_90.jpg;-0v8aMbvC5T1SVOfDIPifA_0.jpg,
Gaborone,gaborone,empty_expected,0,0,0,133896,2093,,--FXFfGpaDNHTPJFcrP3tA_0.jpg;--FXFfGpaDNHTPJFcrP3tA_180.jpg;--FXFfGpaDNHTPJFcrP3tA_270.jpg;--FXFfGpaDNHTPJFcrP3tA_90.jpg;--XSOVQmNgaOYTgF33xG_A_0.jpg,
Ilheus,ilheus,complete,10829,10829,0,20354,488,,--AqaWbr0it7MP6OSa9TDQ_0.jpg;--qNH2wGxlFLgqmpjX0A_Q_180.jpg;--qNH2wGxlFLgqmpjX0A_Q_270.jpg;--qNH2wGxlFLgqmpjX0A_Q_90.jpg;--uEH8mSGl8vFeqAVIj2ag_0.jpg,
Jequie,jequie,complete,14103,14103,0,34005,752,,--Vbfwu9wJZ0iHMHGVzjig_0.jpg;--Vbfwu9wJZ0iHMHGVzjig_180.jpg;--Vbfwu9wJZ0iHMHGVzjig_270.jpg;--Vbfwu9wJZ0iHMHGVzjig_90.jpg;--hie9rhtPPYmIuRGGAMpQ_0.jpg,
Palmas,palmas,complete,14611,14611,0,131680,2286,,--5xq_zhtfLeOkicsnvwuQ_0.jpg;--5xq_zhtfLeOkicsnvwuQ_180.jpg;--5xq_zhtfLeOkicsnvwuQ_90.jpg;--Gl4EZF9b_D6RGJAqfEsg_0.jpg;--Gl4EZF9b_D6RGJAqfEsg_180.jpg,
Florianopolis,florianopolis,complete,105275,105275,0,76200,2836,,--BHDHua0OHC6VIB3CVGIw_0.jpg;--BHDHua0OHC6VIB3CVGIw_180.jpg;--BHDHua0OHC6VIB3CVGIw_270.jpg;--BHDHua0OHC6VIB3CVGIw_90.jpg;--JA8nWu6A7Ko1Q1scG9-Q_0.jpg,
Ribeirao Preto,ribeiraopreto,complete,30473,30473,0,159503,2969,,---8ySHU7j0bwujAwKnGDg_0.jpg;---8ySHU7j0bwujAwKnGDg_180.jpg;---8ySHU7j0bwujAwKnGDg_270.jpg;---8ySHU7j0bwujAwKnGDg_90.jpg;--6fMOIDa0MN4MstPYerOQ_0.jpg,
Belo Horizonte,belohorizonte,complete,138720,138720,0,127283,4157,,--7YkMlzXqjYgH0yJ_d9Og_0.jpg;--7YkMlzXqjYgH0yJ_d9Og_180.jpg;--7YkMlzXqjYgH0yJ_d9Og_90.jpg;--Hgfhnka35gjywelSLkcQ_0.jpg;--Hgfhnka35gjywelSLkcQ_180.jpg,
Curitiba,curitiba,complete,235765,235765,0,152248,6063,,--6IIyzCSpyXSWtFwBwmeQ_0.jpg;--6IIyzCSpyXSWtFwBwmeQ_180.jpg;--6IIyzCSpyXSWtFwBwmeQ_270.jpg;--6IIyzCSpyXSWtFwBwmeQ_90.jpg;--9pONWXWewVa2n8fkKAfg_0.jpg,
Sao Paulo,saopaulo,complete,779500,779500,0,1304384,32561,,---S7zY4oUxlAQ_uaaOUPA_0.jpg;---S7zY4oUxlAQ_uaaOUPA_180.jpg;---S7zY4oUxlAQ_uaaOUPA_270.jpg;---S7zY4oUxlAQ_uaaOUPA_90.jpg;--02xst9kn9-gKHmdUgxug_0.jpg,
Rio de Janeiro,riodejaneiro,complete,313199,313199,0,236197,8585,,--0EnS2-fDWwh13s3luuVg_0.jpg;--0EnS2-fDWwh13s3luuVg_180.jpg;--0EnS2-fDWwh13s3luuVg_270.jpg;--0EnS2-fDWwh13s3luuVg_90.jpg;--0wGdG_I-Zrhpho1ZFxjg_180.jpg,
Victoria,victoria,complete,4552,4552,0,7304,186,,--oEYpZWdz8_c7bJ3bYboQ_90.jpg;-37j7MD8fgIVkhLpqT_i_g_270.jpg;-37j7MD8fgIVkhLpqT_i_g_90.jpg;-4ZP7FuWzo4oWpgzzzC1DA_90.jpg;-4grgXoBiUk9ZMuXz7rM_g_0.jpg,
Montreal,montreal,complete,215271,215271,0,109074,5068,,--0VhWsO9L2Zzuzf7FMfJA_0.jpg;--0VhWsO9L2Zzuzf7FMfJA_180.jpg;--0VhWsO9L2Zzuzf7FMfJA_270.jpg;--0VhWsO9L2Zzuzf7FMfJA_90.jpg;--18Rk-OhOICymy4byEHGQ_0.jpg,
Toronto,toronto,complete,63489,63489,0,30051,1462,,-06znHGf39iFtRrZ76BWCQ_0.jpg;-06znHGf39iFtRrZ76BWCQ_180.jpg;-06znHGf39iFtRrZ76BWCQ_270.jpg;-06znHGf39iFtRrZ76BWCQ_90.jpg;-0wm01bn7B7WyJ5PdYFARw_0.jpg,
Santiago,santiago,complete,66,66,0,18117,285,,--jefINB6isd-XHb-ZoZ5Q_0.jpg;--jefINB6isd-XHb-ZoZ5Q_270.jpg;--jefINB6isd-XHb-ZoZ5Q_90.jpg;-0_oXGQDcPokUS_uNOCvRQ_270.jpg;-0yilqJQtPEQyYURLvfh2Q_0.jpg,
Taipei,taipei,complete,113597,113597,0,142368,4000,,--81W0cjgXBNxTIuMagYfQ_0.jpg;--81W0cjgXBNxTIuMagYfQ_180.jpg;--81W0cjgXBNxTIuMagYfQ_270.jpg;--81W0cjgXBNxTIuMagYfQ_90.jpg;--JRixW8zoks2F1WhjR_4Q_0.jpg,
Hong Kong,hongkong,complete,138789,138789,0,382374,8144,,--51ASst2B8xnAWZ7yJzNQ_0.jpg;--51ASst2B8xnAWZ7yJzNQ_180.jpg;--51ASst2B8xnAWZ7yJzNQ_270.jpg;--51ASst2B8xnAWZ7yJzNQ_90.jpg;--7ffyqSVNfX_JPJr3Q7Zg_0.jpg,
Valledupar,valledupar,complete,12246,12246,0,10269,352,,-0XuTrLPUzPC1PpkStp1Jg_0.jpg;-0XuTrLPUzPC1PpkStp1Jg_180.jpg;-0XuTrLPUzPC1PpkStp1Jg_270.jpg;-0XuTrLPUzPC1PpkStp1Jg_90.jpg;-1HonRx7tooK8CnYOcPR8w_0.jpg,
Bogotá,bogota,error,0,0,0,0,0,,,city image index not found: /lustre1/g/geog_pyloo/05_timemachine/_transformed/t_classifier_img_yolo8_inf_dir/bogota.parquet
Copenhagen,copenhagen,complete,118100,118100,0,163877,4406,,--2JhMOcQ4M69PRFbeSrnA_0.jpg;--2JhMOcQ4M69PRFbeSrnA_180.jpg;--2JhMOcQ4M69PRFbeSrnA_270.jpg;--2JhMOcQ4M69PRFbeSrnA_90.jpg;--5rpjHB1jcDhC73-2l5rw_180.jpg,
Quito,quito,empty_expected,0,0,0,314824,4920,,--2HFnxKEj24BKJVUXowLw_180.jpg;--2HFnxKEj24BKJVUXowLw_270.jpg;--2HFnxKEj24BKJVUXowLw_90.jpg;--3kRmn3OzfSvyOHVDOfWg_0.jpg;--3kRmn3OzfSvyOHVDOfWg_180.jpg,
Le Mans,lemans,complete,22793,22793,0,20134,671,,--Kv5GH03iPYvKFf5r1TZA_0.jpg;--Kv5GH03iPYvKFf5r1TZA_180.jpg;--Kv5GH03iPYvKFf5r1TZA_270.jpg;--Kv5GH03iPYvKFf5r1TZA_90.jpg;--UhcORjLQBk-3m-f4g06w_0.jpg,
Paris,paris,complete,53821,53821,0,74868,2011,,--ADDbvSl_y2frNCSN03ug_0.jpg;--ADDbvSl_y2frNCSN03ug_180.jpg;--ADDbvSl_y2frNCSN03ug_270.jpg;--ADDbvSl_y2frNCSN03ug_90.jpg;--LQqkZkWF3Glr96Hjkx7Q_0.jpg,
Munich,munich,complete,369,369,0,207828,3254,,--2aszkqkq4qtZM-JJwzbw_0.jpg;--2aszkqkq4qtZM-JJwzbw_180.jpg;--2aszkqkq4qtZM-JJwzbw_270.jpg;--2aszkqkq4qtZM-JJwzbw_90.jpg;--3Dm9cngno8TuclPo--hA_0.jpg,
Berlin,berlin,incomplete,154,0,154,0,0,-gOBuSdIV-ziPChnyJVpjw_0.jpg;-gOBuSdIV-ziPChnyJVpjw_180.jpg;-gOBuSdIV-ziPChnyJVpjw_270.jpg;2WF04pki2mYAAAQvO0t93g_0.jpg;2WF04pki2mYAAAQvO0t93g_180.jpg,,
Accra,accra,incomplete,114763,0,114763,0,0,---o6IeEGRwPelwQr9Paqg_180.jpg;---o6IeEGRwPelwQr9Paqg_270.jpg;---o6IeEGRwPelwQr9Paqg_90.jpg;--2t8Y0p0wNGauUHgmePYg_0.jpg;--2t8Y0p0wNGauUHgmePYg_180.jpg,,
Thessaloniki,thessaloniki,incomplete,41175,0,41175,0,0,--D45rioa9Ly-C4QJGS6wA_0.jpg;--D45rioa9Ly-C4QJGS6wA_180.jpg;--D45rioa9Ly-C4QJGS6wA_270.jpg;--D45rioa9Ly-C4QJGS6wA_90.jpg;-093h9IBg_EyME-VFZC4rg_180.jpg,,
Athens,athens,incomplete,42403,0,42403,0,0,--MV-IYZwWcMgwDlSMZxVA_0.jpg;--MV-IYZwWcMgwDlSMZxVA_180.jpg;--MV-IYZwWcMgwDlSMZxVA_270.jpg;--MV-IYZwWcMgwDlSMZxVA_90.jpg;--UJN5OuaBLNpLE42o5TJA_0.jpg,,
Guatemala City,guatemalacity,incomplete,38092,0,38092,0,0,--CYP3MHYt7aWrS2AzPftQ_0.jpg;--CYP3MHYt7aWrS2AzPftQ_180.jpg;--CYP3MHYt7aWrS2AzPftQ_270.jpg;--CYP3MHYt7aWrS2AzPftQ_90.jpg;--hvnEpmUC8vlhOhoJBxgA_0.jpg,,
Budapest,budapest,incomplete,167192,0,167192,0,0,---9G3GL4XtW-4660aXI_Q_0.jpg;---9G3GL4XtW-4660aXI_Q_180.jpg;---9G3GL4XtW-4660aXI_Q_270.jpg;---9G3GL4XtW-4660aXI_Q_90.jpg;--1CvCav2AriXfdZbdx40w_0.jpg,,
Hindupur,hindupur,empty_expected,0,0,0,0,0,,,
Vijayawada,vijayawada,empty_expected,0,0,0,0,0,,,
Delhi,delhi,incomplete,84,0,84,0,0,07tgetMUM-cAAAQvOkrRWw_0.jpg;07tgetMUM-cAAAQvOkrRWw_180.jpg;07tgetMUM-cAAAQvOkrRWw_270.jpg;07tgetMUM-cAAAQvOkrRWw_90.jpg;1Ro-FbCXFi7e89VYHqx6ow_0.jpg,,
Bangalore,bangalore,incomplete,81,0,81,0,0,-nomFSciNpd732k21mnz6g_0.jpg;-nomFSciNpd732k21mnz6g_180.jpg;-nomFSciNpd732k21mnz6g_270.jpg;-nomFSciNpd732k21mnz6g_90.jpg;1EBmDLbbfqDkOnkND6qo5g_0.jpg,,
Kozhikode,kozhikode,empty_expected,0,0,0,0,0,,,
Mumbai,mumbai,incomplete,22,0,22,0,0,-J87qnx1emQoTcihr_3qmg_90.jpg;EMsV215P16clEVpj7k9UWQ_180.jpg;EMsV215P16clEVpj7k9UWQ_270.jpg;Ke47ZCM-sljs1JftY2YBeg_180.jpg;TRz0ExmCILYKauue1BRXNg_270.jpg,,
Malegaon,malegaon,empty_expected,0,0,0,0,0,,,
Pune,pune,incomplete,19,0,19,0,0,3FgTXMHj64F9Evx1j9BwwA_180.jpg;3FgTXMHj64F9Evx1j9BwwA_270.jpg;3FgTXMHj64F9Evx1j9BwwA_90.jpg;BS2a5qE3shciChgdMA0Yiw_0.jpg;BS2a5qE3shciChgdMA0Yiw_180.jpg,,
Parbhani,parbhani,empty_expected,0,0,0,0,0,,,
Jalna,jalna,empty_expected,0,0,0,0,0,,,
Jaipur,jaipur,empty_expected,0,0,0,326452,5101,,--1Z2Gp3IYQ1I16PeNtbCw_180.jpg;--1Z2Gp3IYQ1I16PeNtbCw_270.jpg;--1rkD1SgQJqOcmosBp6pA_0.jpg;--1rkD1SgQJqOcmosBp6pA_180.jpg;--1rkD1SgQJqOcmosBp6pA_270.jpg,
Hyderabad,hyderabad,complete,333,333,0,411772,6440,,--08MPM9LdV-L_nk6yayCg_0.jpg;--08MPM9LdV-L_nk6yayCg_180.jpg;--08MPM9LdV-L_nk6yayCg_270.jpg;--08MPM9LdV-L_nk6yayCg_90.jpg;--4U8ItOQVbn2GDMQ_KNng_0.jpg,
Sitapur,sitapur,empty_expected,0,0,0,53384,835,,--hZNLEFWhMtS01omyTTUQ_0.jpg;--hZNLEFWhMtS01omyTTUQ_180.jpg;--hZNLEFWhMtS01omyTTUQ_90.jpg;--rDAKKEx7oyc1X4fmu3Mg_0.jpg;--rDAKKEx7oyc1X4fmu3Mg_270.jpg,
Kanpur,kanpur,empty_expected,0,0,0,252410,3944,,--1Q6KoIoALmRe03P7ZY8Q_0.jpg;--1Q6KoIoALmRe03P7ZY8Q_180.jpg;--1Q6KoIoALmRe03P7ZY8Q_270.jpg;--1Q6KoIoALmRe03P7ZY8Q_90.jpg;--D1GMrGl_ZwWspLpDktIA_180.jpg,
Parepare,parepare,complete,15469,15469,0,10847,412,,-0SOBlLehqaDp9hf2cNYhA_0.jpg;-0SOBlLehqaDp9hf2cNYhA_180.jpg;-0SOBlLehqaDp9hf2cNYhA_270.jpg;-0SOBlLehqaDp9hf2cNYhA_90.jpg;-0fQobkRhVtOn2A-vmXwrA_0.jpg,
Cirebon,cirebon,complete,11730,11730,0,15983,434,,---2aIbPREjbYxSxfbmweA_0.jpg;---2aIbPREjbYxSxfbmweA_180.jpg;---2aIbPREjbYxSxfbmweA_270.jpg;---2aIbPREjbYxSxfbmweA_90.jpg;-0SDioC4gh0Z_45zsR5UJA_0.jpg,
Medan,medan,complete,72236,72236,0,128591,3138,,---g7by8cGvnT52jgBJ8KQ_0.jpg;---g7by8cGvnT52jgBJ8KQ_180.jpg;---g7by8cGvnT52jgBJ8KQ_270.jpg;---g7by8cGvnT52jgBJ8KQ_90.jpg;--4dFnMf4Gc95vd2EMxpCw_0.jpg,
Palembang,palembang,complete,52721,52721,0,159404,3315,,--35Xtv4LVr0eqsDmxkkMA_0.jpg;--35Xtv4LVr0eqsDmxkkMA_180.jpg;--35Xtv4LVr0eqsDmxkkMA_270.jpg;--35Xtv4LVr0eqsDmxkkMA_90.jpg;--8RL56dPGw97QHPGOIq9A_0.jpg,
Jakarta,jakarta,complete,335503,335503,0,311935,10117,,--2ZtIj0q6CrXoBy52_gfg_0.jpg;--2ZtIj0q6CrXoBy52_gfg_180.jpg;--2ZtIj0q6CrXoBy52_gfg_270.jpg;--2ZtIj0q6CrXoBy52_gfg_90.jpg;--6UcW6kTAlROm6-zvF7kg_0.jpg,
Tel Aviv,telaviv,complete,13835,13835,0,17048,483,,--QKsy4761WWWDywzqEQZw_0.jpg;--QKsy4761WWWDywzqEQZw_90.jpg;--QQUBRLC9ajXPj5givMrA_0.jpg;--QQUBRLC9ajXPj5givMrA_180.jpg;--QQUBRLC9ajXPj5givMrA_90.jpg,
Jerusalem,jerusalem,complete,8516,8516,0,47733,879,,--1ljWT0HO0K3QISehwS_g_0.jpg;--1ljWT0HO0K3QISehwS_g_180.jpg;--1ljWT0HO0K3QISehwS_g_270.jpg;--1ljWT0HO0K3QISehwS_g_90.jpg;--4fn3Q3VtB7TY6W-6trCA_0.jpg,
Palermo,palermo,complete,47339,47339,0,44841,1441,,--Eh697GtAuLccg5OcOjXw_0.jpg;--Eh697GtAuLccg5OcOjXw_180.jpg;--Eh697GtAuLccg5OcOjXw_270.jpg;--Eh697GtAuLccg5OcOjXw_90.jpg;--J4UolFRfqpcRcfa69hAQ_0.jpg,
Rome,rome,complete,272829,272829,0,421846,10855,,--1CTdMkuwxNgtru-_K7Kg_0.jpg;--1CTdMkuwxNgtru-_K7Kg_180.jpg;--1CTdMkuwxNgtru-_K7Kg_270.jpg;--1CTdMkuwxNgtru-_K7Kg_90.jpg;--2U4yUOnk95f_LWyozWFw_0.jpg,
Milan,milan,complete,96009,96009,0,72744,2637,,--5RW0m6-7KB3C81ZYI5eA_0.jpg;--5RW0m6-7KB3C81ZYI5eA_180.jpg;--5RW0m6-7KB3C81ZYI5eA_270.jpg;--5RW0m6-7KB3C81ZYI5eA_90.jpg;--KrYYjrVn5zP7vHrl_c4w_0.jpg,
Yamaguchi,yamaguchi,complete,152899,152899,0,484053,9953,,---N4fjTIzLAyFp9ZFfqew_0.jpg;---N4fjTIzLAyFp9ZFfqew_180.jpg;---N4fjTIzLAyFp9ZFfqew_270.jpg;---N4fjTIzLAyFp9ZFfqew_90.jpg;--02GS6NSsORwFwMQ2TENA_0.jpg,
Tokyo,tokyo,incomplete,526581,441769,84812,577047,15919,---XxTP5DmUVB-0hRvBoAg_0.jpg;---XxTP5DmUVB-0hRvBoAg_180.jpg;---XxTP5DmUVB-0hRvBoAg_270.jpg;---XxTP5DmUVB-0hRvBoAg_90.jpg;--5BQLJHwDS2PFQBGZYo3Q_0.jpg,--0Gyeye5yJcW1csFgSVmQ_0.jpg;--0Gyeye5yJcW1csFgSVmQ_180.jpg;--0Gyeye5yJcW1csFgSVmQ_270.jpg;--0Gyeye5yJcW1csFgSVmQ_90.jpg;--1rb81Gt0RussXZLXmJzg_0.jpg,
